parameter,value
m,10.0
g,9.81
rho,1.225
Ixx,0.45
Iyy,0.70
Izz,0.90
Ixy,0.0
Iyz,0.0
Ixz,0.0
b1,1.2
c1,0.25
i1,0.0
xs1,0.0
ys1,0.35
zs1,0.0
Cl01,0.0
dCldu1,0.0
cu1,0.25
Cd01,0.03
Cda1,0.30
a01,0.0
e1,0.8
dCddu1,0.0
Cm01,0.0
Cma1,-0.05
dCmdu1,0.0
b2,1.2
c2,0.25
i2,0.0
xs2,0.0
ys2,-0.35
zs2,0.0
Cl02,0.0
dCldu2,0.0
cu2,0.25
Cd02,0.03
Cda2,0.30
a02,0.0
e2,0.8
dCddu2,0.0
Cm02,0.0
Cma2,-0.05
dCmdu2,0.0
x_p1,0.6
y_p1,0.4
z_p1,0.0
x_p2,0.6
y_p2,-0.4
z_p2,0.0
x_p3,0.2
y_p3,0.4
z_p3,0.0
x_p4,0.2
y_p4,-0.4
z_p4,0.0
x_p5,-0.2
y_p5,0.4
z_p5,0.0
x_p6,-0.2
y_p6,-0.4
z_p6,0.0
x_p7,-0.6
y_p7,0.4
z_p7,0.0
x_p8,-0.6
y_p8,-0.4
z_p8,0.0
s_p1,1
s_p2,-1
s_p3,-1
s_p4,1
s_p5,1
s_p6,-1
s_p7,-1
s_p8,1
x_c,0.7
y_c,0.0
z_c,0.0
s_c,1
